"rev_timestamp","rev_user_text","rev_page","rev_user","page_title","rev_len"
"20140101045411","Русин Сергей Николаевич","263679",43180,"Тофалария","14157"
"20140101045847","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","7609"
"20140101045848","Русин Сергей Николаевич","269834",43180,"Свет_и_тени","76"
"20140101045941","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","7553"
"20140101050102","Русин Сергей Николаевич","269835",43180,"Радость_рассвета","87"
"20140101050102","Русин Сергей Николаевич","269783",43180,"Тофалария._Радость_рассвета","11838"
"20140101050804","Русин Сергей Николаевич","269836",43180,"Падение_звезд","81"
"20140101050804","Русин Сергей Николаевич","269787",43180,"Тофалария._Падение_звезд","1915"
"20140101050844","Русин Сергей Николаевич","269787",43180,"Тофалария._Падение_звезд","1851"
"20140101051158","Русин Сергей Николаевич","263679",43180,"Тофалария","14164"
"20140101051316","Русин Сергей Николаевич","269783",43180,"Тофалария._Радость_рассвета","12101"
"20140101051342","Русин Сергей Николаевич","269783",43180,"Тофалария._Радость_рассвета","12005"
"20140101051454","Русин Сергей Николаевич","269783",43180,"Тофалария._Радость_рассвета","11774"
"20140101054254","Русин Сергей Николаевич","269783",43180,"Тофалария._Радость_рассвета","11793"
"20140101054326","Русин Сергей Николаевич","263679",43180,"Тофалария","14122"
"20140101054416","Русин Сергей Николаевич","269837",43180,"Бесконечность_гор","89"
"20140101054416","Русин Сергей Николаевич","269828",43180,"Тофалария._Бесконечность_гор","426"
"20140101054445","Русин Сергей Николаевич","269828",43180,"Тофалария._Бесконечность_гор","369"
"20140101081118","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","43353"
"20140101081359","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","34762"
"20140101082136","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","34847"
"20140101082213","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","34936"
"20140101083212","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","43436"
"20140101092400","Русин Сергей Николаевич","263679",43180,"Тофалария","14199"
"20140101092638","Русин Сергей Николаевич","263679",43180,"Тофалария","14285"
"20140101095203","Русин Сергей Николаевич","263679",43180,"Тофалария","14790"
"20140101095506","Русин Сергей Николаевич","263679",43180,"Тофалария","14742"
"20140101095644","Русин Сергей Николаевич","263679",43180,"Тофалария","14732"
"20140101095908","Русин Сергей Николаевич","263679",43180,"Тофалария","14777"
"20140101100607","Русин Сергей Николаевич","263679",43180,"Тофалария","14777"
"20140101115141","Русин Сергей Николаевич","263679",43180,"Тофалария","14777"
"20140101115143","Русин Сергей Николаевич","269844",43180,"Моя_Тофалария","54"
"20140101115419","Русин Сергей Николаевич","263679",43180,"Тофалария","14852"
"20140101115714","Русин Сергей Николаевич","263679",43180,"Тофалария","14946"
"20140101115958","Русин Сергей Николаевич","263679",43180,"Тофалария","14988"
"20140101120132","Русин Сергей Николаевич","263679",43180,"Тофалария","14993"
"20140101120310","Русин Сергей Николаевич","263679",43180,"Тофалария","14984"
"20140101120409","Русин Сергей Николаевич","263679",43180,"Тофалария","15017"
"20140101121514","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","7553"
"20140101121803","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","7551"
"20140101122545","Дарья Калошкина","266317",69170,"Школа_7_города_Арзамаса_Нижегородской_области_9-Б_класс_2013-2014","25197"
"20140101122848","Дарья Калошкина","266317",69170,"Школа_7_города_Арзамаса_Нижегородской_области_9-Б_класс_2013-2014","25076"
"20140101123012","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","7540"
"20140101123421","Куклева Капитолина","220993",40324,"Страницы_истории_Сомовской_школы_Воротынского_района_Нижегородской_области_III","17927"
"20140101123449","Куклева Капитолина","220993",40324,"Страницы_истории_Сомовской_школы_Воротынского_района_Нижегородской_области_III","17810"
"20140101162428","Тимохина Евгения","267803",21338,"Горы_Чёрного_Гуся._Тофалария","34936"
"20140101162510","Тимохина Евгения","269848",21338,"Большой_Саян._Тофалария","79"
"20140101162510","Тимохина Евгения","267758",21338,"Саяны._Тофалария._Тальма","43436"
"20140102024026","Русин Сергей Николаевич","263791",43180,"Тофалария._Воспоминания_будущего","12713"
"20140102024153","Русин Сергей Николаевич","263791",43180,"Тофалария._Воспоминания_будущего","12672"
"20140102044739","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","43527"
"20140102045117","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","43620"
"20140102045513","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","43723"
"20140102045701","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","43825"
"20140102045941","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","34936"
"20140102045942","Русин Сергей Николаевич","269852",43180,"Тофалария._Горы_Чёрного_Гуся","88"
"20140102050120","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","34919"
"20140102050616","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","35145"
"20140102051348","Русин Сергей Николаевич","269516",43180,"Тофалария._Суглан_Амулетов","37030"
"20140102051846","Русин Сергей Николаевич","269516",43180,"Тофалария._Суглан_Амулетов","37113"
"20140102052053","Русин Сергей Николаевич","269516",43180,"Тофалария._Суглан_Амулетов","37195"
"20140102052144","Русин Сергей Николаевич","267803",43180,"Горы_Чёрного_Гуся._Тофалария","35396"
"20140102052325","Русин Сергей Николаевич","267758",43180,"Саяны._Тофалария._Тальма","44119"
"20140102053312","Русин Сергей Николаевич","263679",43180,"Тофалария","15224"
"20140102081738","Евгений Патаракин","72281",2,"Коллаборация","1160"
"20140102104626","Евгений Патаракин","72281",2,"Коллаборация","1371"
"20140102105407","Евгений Патаракин","72281",2,"Коллаборация","1417"
"20140102123145","Русин Сергей Николаевич","263679",43180,"Тофалария","15202"
"20140102123215","Русин Сергей Николаевич","263679",43180,"Тофалария","15198"
"20140102124532","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","7532"
"20140102143353","Евгений Патаракин","72281",2,"Коллаборация","2292"
"20140102143828","Евгений Патаракин","52988",2,"Личное_учебное_пространство","2860"
"20140102144056","Евгений Патаракин","65485",2,"Сотрудничество","330"
"20140102145233","Евгений Патаракин","72280",2,"Совместная_деятельность","1936"
"20140102145833","Евгений Патаракин","72280",2,"Совместная_деятельность","3700"
"20140102150533","Евгений Патаракин","72280",2,"Совместная_деятельность","5069"
"20140102152227","Евгений Патаракин","72280",2,"Совместная_деятельность","5578"
"20140102152543","Евгений Патаракин","72280",2,"Совместная_деятельность","6109"
"20140102152800","Евгений Патаракин","72280",2,"Совместная_деятельность","6608"
"20140102153140","Евгений Патаракин","72280",2,"Совместная_деятельность","6891"
"20140102171041","Евгений Патаракин","72281",2,"Коллаборация","2295"
"20140102180838","Надежда Лушина","262334",68418,"Проект_Моя_коллекция_Участники","36763"
"20140102182859","Верина Любовь","262335",25934,"Проект_Моя_коллекция_Рейтинг_активности","24211"
"20140102200850","Верина Любовь","262309",25934,"Проект_Моя_коллекция","75673"
"20140102201146","Верина Любовь","262309",25934,"Проект_Моя_коллекция","75744"
"20140102201710","Верина Любовь","262309",25934,"Проект_Моя_коллекция","75747"
"20140102201817","Верина Любовь","262309",25934,"Проект_Моя_коллекция","75775"
"20140103040041","Русин Сергей Николаевич","263679",43180,"Тофалария","15174"
"20140103040246","Русин Сергей Николаевич","263679",43180,"Тофалария","15140"
"20140103040331","Русин Сергей Николаевич","263679",43180,"Тофалария","15128"
"20140103040833","Русин Сергей Николаевич","263679",43180,"Тофалария","15159"
"20140103041754","Русин Сергей Николаевич","263679",43180,"Тофалария","15188"
"20140103090252","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","8481"
"20140103091051","Русин Сергей Николаевич","269776",43180,"Тофалария._Свет_и_тени","8481"
"20140103092839","Русин Сергей Николаевич","263679",43180,"Тофалария","15250"
"20140103093649","Русин Сергей Николаевич","269873",43180,"Тофалария._Радостный_лай","13587"
"20140103094216","Русин Сергей Николаевич","269873",43180,"Тофалария._Радостный_лай","13703"
"20140103094738","Русин Сергей Николаевич","269875",43180,"Тофалария._Ветер_мыслей","12029"
"20140103095201","Русин Сергей Николаевич","263679",43180,"Тофалария","15245"
"20140103095228","Русин Сергей Николаевич","263679",43180,"Тофалария","15240"
"20140103095254","Русин Сергей Николаевич","263679",43180,"Тофалария","15235"
"20140103095310","Русин Сергей Николаевич","263679",43180,"Тофалария","15230"
"20140103095334","Русин Сергей Николаевич","263679",43180,"Тофалария","15225"
"20140103095356","Русин Сергей Николаевич","263679",43180,"Тофалария","15220"
"20140103095422","Русин Сергей Николаевич","263679",43180,"Тофалария","15215"
