percent-grammar-1,logistic?,alpha,gamma,mean_state,nodes _09
55,true,0.03,0.03,0.7078427270787122,0.33
55,true,0.03,0.03,0.6824592404587706,0.27
55,true,0.03,0.03,0.6841864019419955,0.33
55,true,0.03,0.03,0.6614352503999086,0.36
55,true,0.03,0.03,0.705167137390325,0.36
55,true,0.03,0.03,0.7045504912411035,0.34
55,true,0.03,0.03,0.6685625567047873,0.35
55,true,0.03,0.03,0.700574964634271,0.37
55,true,0.03,0.03,0.6680058746868327,0.33
55,true,0.03,0.03,0.6648089255537871,0.38
55,true,0.03,0.03,0.6735037889462501,0.35
55,true,0.03,0.03,0.6807518044716484,0.35
55,true,0.03,0.03,0.6818821922419402,0.32
55,true,0.03,0.03,0.6521719858070333,0.33
55,true,0.03,0.04,0.7456962722828304,0.34
55,true,0.03,0.04,0.7418773126057038,0.43
55,true,0.03,0.04,0.7453463470716247,0.43
55,true,0.03,0.04,0.7406053175275722,0.39
55,true,0.03,0.04,0.7582552087699689,0.43
55,true,0.03,0.04,0.7366932504561848,0.34
55,true,0.03,0.04,0.716789981615195,0.3
55,true,0.03,0.04,0.7379245918495245,0.42
55,true,0.03,0.04,0.7534568170985331,0.39
55,true,0.03,0.04,0.7315627354929726,0.37
55,true,0.03,0.04,0.6989843359572774,0.36
55,true,0.03,0.04,0.746021995806619,0.38
55,true,0.03,0.04,0.7141869249799562,0.41
55,true,0.03,0.04,0.7346769557785364,0.36
55,true,0.03,0.04,0.7484049210862186,0.44
55,true,0.03,0.04,0.748436375840963,0.41
55,true,0.03,0.04,0.7147704902324841,0.41
55,true,0.03,0.04,0.7292643266352036,0.48
55,true,0.03,0.04,0.7435383982052615,0.34
55,true,0.03,0.04,0.7285967094539196,0.41
55,true,0.035,0.02,0.6376910450341562,0.32
55,true,0.035,0.02,0.6291748640124005,0.26
55,true,0.035,0.02,0.637632521354139,0.29
55,true,0.035,0.02,0.636072537128096,0.31
55,true,0.035,0.02,0.6260646896694142,0.27
55,true,0.035,0.02,0.6234875000610125,0.27
55,true,0.035,0.02,0.6395971680263827,0.34
55,true,0.035,0.02,0.6169867472809594,0.36
55,true,0.035,0.02,0.6239878523805682,0.32
55,true,0.035,0.02,0.6245177367532084,0.26
55,true,0.035,0.02,0.636621687554084,0.3
55,true,0.035,0.02,0.6281876814590379,0.37
55,true,0.035,0.02,0.6386578594404211,0.29
55,true,0.035,0.02,0.6367909126507127,0.35
55,true,0.035,0.02,0.6299196634146894,0.26
55,true,0.035,0.02,0.6376528969531483,0.31
55,true,0.035,0.02,0.63666097749547,0.27
55,true,0.035,0.02,0.6468845029331952,0.34
55,true,0.035,0.02,0.6370719120404936,0.34
55,true,0.035,0.02,0.6326596071862199,0.37
55,true,0.035,0.03,0.6824790306827204,0.31
55,true,0.035,0.03,0.7118193943541351,0.37
55,true,0.035,0.03,0.7134753710862443,0.38
55,true,0.035,0.03,0.6765560744572352,0.34
55,true,0.035,0.03,0.6818252836435164,0.36
55,true,0.035,0.03,0.686494259831778,0.35
55,true,0.035,0.03,0.7074231378736754,0.36
55,true,0.035,0.03,0.6981030118217972,0.34
55,true,0.035,0.03,0.6766254553552044,0.35
55,true,0.035,0.03,0.6984613232310974,0.32
55,true,0.035,0.03,0.692764139028951,0.38
55,true,0.035,0.03,0.6912487596350335,0.3
55,true,0.035,0.03,0.7058134181048346,0.34
55,true,0.035,0.03,0.6907835955922341,0.34
55,true,0.035,0.03,0.7261585783231364,0.33
55,true,0.035,0.03,0.6846549680390496,0.38
55,true,0.035,0.03,0.7046765899497552,0.3
55,true,0.035,0.03,0.6837683367155241,0.27
55,true,0.035,0.03,0.6808347079591619,0.25
55,true,0.035,0.03,0.6717932260848631,0.32
55,true,0.035,0.04,0.7217667866692853,0.43
55,true,0.035,0.04,0.7459420176382493,0.3
55,true,0.035,0.04,0.7625054787098113,0.42
55,true,0.035,0.04,0.7696843720342649,0.49
55,true,0.035,0.04,0.7529355094431952,0.4
55,true,0.035,0.04,0.7269877561988346,0.43
55,true,0.035,0.04,0.7424276710580422,0.44
55,true,0.035,0.04,0.7121232676420104,0.42
55,true,0.035,0.04,0.7554623194528002,0.43
55,true,0.035,0.04,0.7673221658860335,0.36
55,true,0.035,0.04,0.7566143588021926,0.44
55,true,0.035,0.04,0.7212286712251021,0.44
55,true,0.035,0.04,0.7572649465939756,0.43
55,true,0.035,0.04,0.7553349757085794,0.4
55,true,0.035,0.04,0.7562136586769723,0.35
55,true,0.035,0.04,0.7251462846251028,0.42
55,true,0.035,0.04,0.7690786249400153,0.44
55,true,0.035,0.04,0.7682689448927813,0.49
55,true,0.035,0.04,0.749856959783417,0.43
55,true,0.035,0.04,0.7483227739798459,0.4
