Base_Salary,new-teachers-per-tick,total-teachers,teacher-turnover-rate,mean-school-vacancy-rate,satisfaction-inequality,mean-satisfaction-poor-schools,mean-satisfaction-good-schools,unemployment-rate,mean-satisfaction-all
1000,1,398,0.46588235294117647,1.036,0.29514671530798053,0.09143678160919547,0.8146666666666652,0.005025125628140704,0.49785353535353544
1000,1,377,0.47058823529411764,1.0139999999999998,0.25136911017630564,0.12354166666666663,0.8097515527950293,0.002652519893899204,0.568324468085107
1000,1,395,0.4588235294117647,1.0246666666666666,0.28023215586481903,0.09954385964912275,0.795536723163841,0.002531645569620253,0.5394247038917099
1000,1,417,0.4447058823529412,1.0353333333333332,0.27017011069745933,0.11874316939890718,0.8036507936507921,0.004796163069544364,0.47889959839357404
1000,1,392,0.4470588235294118,1.0439999999999996,0.27812634786141344,0.1032526881720431,0.8112037037037024,0.00510204081632653,0.4605641025641024
1000,1,378,0.4505882352941176,1.0200000000000002,0.2715784006143859,0.09726190476190474,0.8059868421052613,0.0026455026455026454,0.5304420866489831
1000,1,401,0.4294117647058823,1.0433333333333332,0.2804337176348882,0.1039886039886041,0.8122764227642261,0.004987531172069825,0.484235588972431
1000,1,380,0.4752941176470588,1.0006666666666666,0.24936401229139607,0.09710691823899376,0.8075252525252539,0.002631578947368421,0.6019700967458229
1000,1,387,0.4505882352941176,1.014,0.28253370845517,0.09487972508591065,0.8010759493670868,0.002583979328165375,0.5177461139896374
1000,1,383,0.4235294117647059,1.0406666666666666,0.2686884019694905,0.10814814814814826,0.81673469387755,0.005221932114882507,0.4731846019247592
1000,1,397,0.4717647058823529,1.0286666666666668,0.2756523905851267,0.1225757575757576,0.8083597883597888,0.0025188916876574307,0.5591750841750858
1000,1,390,0.4611764705882353,1.0413333333333334,0.31597166365977625,0.10510256410256417,0.8122346368715075,0.005128205128205128,0.5098109965635746
1000,1,408,0.4376470588235294,1.0259999999999998,0.30324813174913356,0.10867187500000011,0.8132941176470584,0.004901960784313725,0.5068144499178991
1000,1,371,0.46352941176470586,1.0406666666666669,0.29471539835095617,0.10096618357487934,0.8125454545454536,0.005390835579514825,0.442691960252936
1000,1,378,0.4776470588235294,1.0319999999999998,0.23772631949334522,0.09385964912280698,0.7854166666666654,0.0026455026455026454,0.4972590627763039
1000,1,386,0.45647058823529413,1.036666666666667,0.271569129485919,0.09971988795518216,0.7935514018691575,0.0051813471502590676,0.45513888888888854
1000,1,382,0.4611764705882353,1.0446666666666669,0.298316399307116,0.08975694444444442,0.8289634146341459,0.002617801047120419,0.5343657042869646
1000,1,385,0.4435294117647059,1.024666666666667,0.27619182007730336,0.09387681159420286,0.8014093959731525,0.0025974025974025974,0.5199305555555551
1000,1,399,0.41294117647058826,1.0273333333333332,0.28983104478626104,0.11653061224489807,0.8240223463687147,0.002506265664160401,0.5490954773869349
1000,1,387,0.4752941176470588,1.0233333333333332,0.27480380368656104,0.09222222222222218,0.8099473684210525,0.002583979328165375,0.5724611398963736
1000,1,387,0.47058823529411764,1.0213333333333334,0.2767099383853112,0.0899659863945578,0.7988321167883202,0.00516795865633075,0.5008225108225112
1000,1,377,0.4776470588235294,1.0053333333333332,0.25177109304670386,0.08448087431693989,0.8121527777777761,0.002652519893899204,0.5489273049645382
1000,1,367,0.46941176470588236,1.024,0.2618081252365361,0.1198015873015873,0.8075781249999985,0.0027247956403269754,0.5174499089253184
1000,1,405,0.4411764705882353,0.9999999999999998,0.2529284370175286,0.09710382513661202,0.8032142857142858,0.0024691358024691358,0.5825082508250826
1000,1,392,0.46,1.0313333333333334,0.2587177389083921,0.11745454545454562,0.794722222222221,0.00510204081632653,0.47213675213675166
1000,1,378,0.46941176470588236,1.026666666666667,0.2885409512292374,0.10465277777777778,0.8076785714285699,0.0026455026455026454,0.535393457117595
1000,1,391,0.46588235294117647,1.0113333333333334,0.272440503041638,0.0969154228855721,0.8074261603375551,0.0025575447570332483,0.6143846153846163
1000,1,410,0.4188235294117647,1.0306666666666668,0.2952797789131537,0.10622950819672146,0.8002298850574704,0.004878048780487805,0.5118218954248376
1000,1,407,0.41294117647058826,1.0233333333333334,0.27778755636131375,0.1168766404199475,0.8109599999999989,0.004914004914004914,0.47213991769547325
1000,1,388,0.4623529411764706,1.0613333333333335,0.3075918945112561,0.11547758284600375,0.8080645161290307,0.007731958762886598,0.428484848484849
1000,1,395,0.45176470588235296,1.0479999999999998,0.2943010402737858,0.09868766404199487,0.8013286713286699,0.005063291139240506,0.47499575911789693
1000,1,379,0.46352941176470586,1.0293333333333337,0.2815218617902326,0.09676567656765686,0.8080434782608676,0.005277044854881266,0.504580017683466
1000,1,379,0.47058823529411764,1.0413333333333334,0.29670420123228697,0.09469255663430418,0.8043820224719097,0.005277044854881266,0.5338284703801958
1000,1,421,0.43176470588235294,1.0106666666666666,0.2648331446389877,0.10969696969696971,0.8079190751445082,0.0023752969121140144,0.5416428571428578
1000,1,387,0.4505882352941176,1.0386666666666668,0.28540465553349453,0.09320132013201324,0.8127397260273956,0.00516795865633075,0.511004329004329
1000,1,379,0.45647058823529413,1.0426666666666664,0.265773056823318,0.0904761904761904,0.8099999999999989,0.002638522427440633,0.48159611992945306
1000,1,378,0.4258823529411765,1.0233333333333334,0.28999251151984756,0.1219281045751635,0.8028415300546448,0.005291005291005291,0.5455851063829794
1000,1,397,0.4388235294117647,1.0200000000000002,0.2736544451283713,0.09563333333333338,0.8054074074074066,0.005037783375314861,0.4990126582278481
1000,1,383,0.4811764705882353,1.0233333333333334,0.267860734328573,0.10491582491582492,0.7961290322580626,0.005221932114882507,0.49544181977252816
1000,1,379,0.4717647058823529,1.0186666666666666,0.2560030102661275,0.11340501792114692,0.8065420560747651,0.002638522427440633,0.49073192239858876
1000,1,383,0.47294117647058825,1.0313333333333334,0.275636278758708,0.11987055016181238,0.8018881118881105,0.005221932114882507,0.5094400699912516
1000,1,360,0.47058823529411764,1.0319999999999998,0.28060831745032294,0.09170068027210879,0.795826771653542,0.002777777777777778,0.49585886722377026
1000,1,398,0.4788235294117647,1.0046666666666668,0.2549702321755844,0.08611111111111104,0.8056428571428562,0.002512562814070352,0.5299664147774987
1000,1,399,0.4470588235294118,1.0299999999999998,0.28482185661888926,0.12117460317460327,0.8141212121212117,0.005012531328320802,0.526515533165408
1000,1,406,0.4447058823529412,1.0266666666666666,0.27117658680217677,0.08489959839357424,0.8104216867469871,0.0024630541871921183,0.5457283950617293
1000,1,377,0.46941176470588236,1.032,0.2677539190017952,0.11500000000000006,0.8070535714285706,0.005305039787798408,0.48431999999999964
1000,1,402,0.47411764705882353,1.0333333333333334,0.27091809624037566,0.10528000000000017,0.8047572815533969,0.004975124378109453,0.45723333333333377
1000,1,400,0.44588235294117645,1.0393333333333334,0.29511691421386926,0.11432432432432438,0.8153757225433523,0.005,0.5330150753768859
1000,1,378,0.4823529411764706,1.0026666666666666,0.2504892044352157,0.1151234567901234,0.8103000000000009,0.0026455026455026454,0.6081786030061893
1000,1,355,0.49176470588235294,1.008,0.2537474422692233,0.10486338797814204,0.804657534246574,0.0028169014084507044,0.5545951035781546
1000,1.5,596,0.4388235294117647,1.0086666666666666,0.26221382358588524,0.11203836930455652,0.8130526315789478,0.003355704697986577,0.5161279461279464
1000,1.5,585,0.44588235294117645,1.0159999999999998,0.28871996163484986,0.11158974358974356,0.8024468085106378,0.005128205128205128,0.476340206185568
1000,1.5,597,0.45647058823529413,1.0213333333333336,0.31724613162277415,0.1015745393634841,0.8252500000000006,0.006700167504187605,0.5009836987071391
1000,1.5,582,0.4588235294117647,1.0406666666666666,0.3019973757732252,0.13707717569786512,0.8297235023041479,0.005154639175257732,0.49485319516407605
1000,1.5,576,0.46705882352941175,0.9940000000000001,0.29266693649799114,0.1377018633540372,0.8299586776859513,0.005208333333333333,0.5331180919139038
1000,1.5,583,0.47411764705882353,0.9926666666666669,0.2594414387297763,0.10526610644257715,0.8117224880382784,0.003430531732418525,0.5314457831325307
1000,1.5,570,0.4764705882352941,1.0093333333333332,0.2861854363553746,0.10624113475177323,0.8336866359447016,0.0035087719298245615,0.536150234741784
1000,1.5,600,0.48705882352941177,0.9946666666666669,0.2657061595370561,0.10847094801223252,0.8128518518518534,0.0033333333333333335,0.5761092530657771
1000,1.5,603,0.45529411764705885,0.9993333333333334,0.2477873067841176,0.14542406311637068,0.8252205882352925,0.004975124378109453,0.4717277777777764
1000,1.5,586,0.4752941176470588,1.0206666666666673,0.2729794170592564,0.11093023255813955,0.7860317460317454,0.005119453924914676,0.48586620926243684
1000,1.5,597,0.4588235294117647,1.0133333333333334,0.2798637389526822,0.10815085158150867,0.8173443983402494,0.0033500837520938024,0.537478991596638
1000,1.5,603,0.4623529411764706,1.0179999999999998,0.2696378273463616,0.1140269749518305,0.8130857142857136,0.004975124378109453,0.4822944444444449
1000,1.5,599,0.45529411764705885,1.0266666666666668,0.2899284044699822,0.11883333333333337,0.825200000000001,0.005008347245409015,0.53349552572707
1000,1.5,582,0.4717647058823529,1.0159999999999998,0.27189025499999314,0.108902953586498,0.8200000000000001,0.005154639175257732,0.49127230857800747
1000,1.5,594,0.44823529411764707,0.994,0.22086771353182458,0.14027491408934725,0.7945454545454536,0.0016835016835016834,0.5349465992130417
1000,1.5,586,0.4964705882352941,0.9759999999999999,0.2437729702206652,0.15861861861861865,0.8188038277511976,0.0034129692832764505,0.5482305936073067
1000,1.5,588,0.4623529411764706,0.9786666666666666,0.22985092931645787,0.10616438356164382,0.7964062500000026,0.0017006802721088435,0.5869846678023865
1000,1.5,602,0.4776470588235294,1.0133333333333334,0.2948897787510873,0.12240942028985494,0.8141152263374496,0.0049833887043189366,0.5110962715637175
1000,1.5,594,0.47058823529411764,0.9986666666666667,0.24712741138677363,0.11250000000000018,0.7928494623655907,0.003367003367003367,0.5307939189189197
1000,1.5,590,0.4764705882352941,1.0266666666666664,0.28187836694622426,0.1270476190476189,0.8362146892655354,0.005084745762711864,0.4912720045428727
1000,1.5,549,0.48,0.987333333333333,0.25707025701808334,0.10778947368421059,0.8105555555555576,0.0018214936247723133,0.5670863746958649
1000,1.5,582,0.46588235294117647,0.9866666666666667,0.25314164576486264,0.10345381526104416,0.8241221374045817,0.001718213058419244,0.5892197360872073
1000,1.5,592,0.44,1.0006666666666666,0.2558915320001187,0.14278508771929818,0.8043850267379674,0.0033783783783783786,0.5068587570621482
1000,1.5,582,0.4788235294117647,1.002,0.276848507755347,0.12578366445916114,0.8158666666666679,0.005154639175257732,0.522573402417963
1000,1.5,596,0.4505882352941176,0.9786666666666666,0.24936026764485855,0.11964912280701774,0.8161083743842364,0.003355704697986577,0.5389281705948382
1000,1.5,615,0.4470588235294118,0.9933333333333335,0.26040326660907803,0.12063360881542716,0.8181739130434795,0.0032520325203252032,0.5517074497009256
1000,1.5,576,0.48470588235294115,0.9780000000000003,0.2472806707809926,0.145925925925926,0.8254032258064535,0.001736111111111111,0.5863478260869571
1000,1.5,598,0.4576470588235294,1.03,0.310371178879289,0.14311594202898525,0.8387330316742097,0.006688963210702341,0.48533670033670123
1000,1.5,632,0.4435294117647059,1.0073333333333332,0.30553972549725955,0.11785837651122612,0.8342084942084952,0.004746835443037975,0.5228669846316909
