school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,20,true,0.1,0.37367522887462434,0.5217932020337841
10,true,20,true,0.1,0.33243807404420206,0.44968578370887435
10,true,20,true,0.1,0.31600919786573783,0.47431541443736247
10,true,20,true,0.1,0.3360139636859023,0.46516701436540053
10,true,20,true,0.1,0.3811957128058012,0.6509205387495047
10,true,20,true,0.1,0.3592991836981711,0.49870004870313167
10,true,20,true,0.1,0.3502469805864864,0.5539554326189675
10,true,20,true,0.1,0.3370298809099847,0.43136391820286857
10,true,20,true,0.1,0.38303497307307505,0.5673439342084245
10,true,20,true,0.1,0.40879116200855703,0.357676376791237
10,true,20,true,0.1,0.3333567761445952,0.4168730464204575
10,true,20,true,0.1,0.3563890248834586,0.479141647427765
10,true,20,true,0.1,0.37578867983166947,0.6523026732921995
10,true,20,true,0.1,0.39021131892154476,0.5921908285118231
10,true,20,true,0.1,0.36232558139534893,0.5273416052786528
10,true,20,true,0.1,0.43090486405885947,0.7518507112150088
10,true,20,true,0.1,0.3675395907178899,0.6448224211037648
10,true,20,true,0.1,0.3487846751603866,0.46117677861503736
10,true,20,true,0.1,0.3280282592894243,0.358807130124406
10,true,20,true,0.1,0.39181619064601747,0.6787716987084593
10,true,20,true,0.1,0.44854545454545464,0.7137995662951804
10,true,20,true,0.1,0.3147310227193712,0.3994127861392087
10,true,20,true,0.1,0.3533369844455414,0.4760146767906299
10,true,20,true,0.1,0.4225529152378444,0.6384637386147274
10,true,20,true,0.1,0.41136611050632055,0.5382030837173186
10,true,20,true,0.1,0.2993320493175978,0.3477033437092176
10,true,20,true,0.1,0.3260128212633921,0.43259065699326626
10,true,20,true,0.1,0.41325506396861933,0.7247965543187371
10,true,20,true,0.1,0.3292064622872342,0.39066863970415255
10,true,20,true,0.1,0.35987376557736794,0.453249455811088
10,true,20,true,0.2,0.486249423384799,0.5542842760920612
10,true,20,true,0.2,0.3630726042462117,0.3022408719909162
10,true,20,true,0.2,0.5031609868239001,0.9614205454599789
10,true,20,true,0.2,0.5786268295895677,0.9522538206105464
10,true,20,true,0.2,0.5248400963306316,0.744326808185547
10,true,20,true,0.2,0.4996594339447621,0.7772256164474625
10,true,20,true,0.2,0.4673458375601649,0.5562511166836526
10,true,20,true,0.2,0.39166666666666655,0.49636001876275593
10,true,20,true,0.2,0.48007676110770536,0.7038661314259507
10,true,20,true,0.2,0.5329211178793353,0.7165588865796568
10,true,20,true,0.2,0.4947137280416396,0.9076792973002403
10,true,20,true,0.2,0.4706968647414489,0.48552674624129466
10,true,20,true,0.2,0.4154854154854155,0.44616408147092645
10,true,20,true,0.2,0.4578683743075622,0.842256395762015
10,true,20,true,0.2,0.5132727272727273,0.6402070306586936
10,true,20,true,0.2,0.5662997054588355,1.0222029220259916
10,true,20,true,0.2,0.36177937018411,0.45056304577752737
10,true,20,true,0.2,0.5309203018101589,0.6835180362457463
10,true,20,true,0.2,0.42860582402917896,0.6150015729937133
10,true,20,true,0.2,0.5106508512495909,0.6931038015811737
10,true,20,true,0.2,0.3570510782382383,0.5826432336162792
10,true,20,true,0.2,0.45528595469969907,0.6586932054789969
10,true,20,true,0.2,0.4597690843380141,0.6014225741841592
10,true,20,true,0.2,0.41114405732641457,0.541353627467724
10,true,20,true,0.2,0.4388360015100963,0.6502550052790559
10,true,20,true,0.2,0.4133510186317382,0.6253918652193322
10,true,20,true,0.2,0.5218291644200638,0.6579992711726188
10,true,20,true,0.2,0.5123692097376307,0.776932937790038
10,true,20,true,0.2,0.5637509781758109,0.9154220924211707
10,true,20,true,0.2,0.4559946564970695,0.6664821670098897
10,true,20,true,0.3,0.5499691336854381,0.7551229315609307
10,true,20,true,0.3,0.48551360246448344,0.9480211312513669
10,true,20,true,0.3,0.5723506347556063,0.8832037700519706
10,true,20,true,0.3,0.5300069300069298,0.5360734574080182
10,true,20,true,0.3,0.5234465540305856,0.8203422425937923
10,true,20,true,0.3,0.4383660784605886,0.5458447967645785
10,true,20,true,0.3,0.49985754212682826,0.7505066593626193
10,true,20,true,0.3,0.6180520676377032,0.6641133598961151
10,true,20,true,0.3,0.5497744102872945,0.6210080640399891
10,true,20,true,0.3,0.49163636363636365,0.8594222557253675
10,true,20,true,0.3,0.6305156916778075,0.8951734676022296
10,true,20,true,0.3,0.44714241439281593,0.5746282182150431
10,true,20,true,0.3,0.5767202410848817,0.9038307876134279
10,true,20,true,0.3,0.4956448202959833,0.6724432665728699
10,true,20,true,0.3,0.4573257192446865,0.4775455577112435
10,true,20,true,0.3,0.6895435533733407,1.525938811020926
10,true,20,true,0.3,0.4363974954663364,0.36576427349731944
10,true,20,true,0.3,0.5256439279494811,0.5214374641008463
10,true,20,true,0.3,0.4639635802474671,0.6813993239649818
10,true,20,true,0.3,0.7436767085439642,0.9765209757015842
10,true,20,true,0.3,0.4650880409207509,0.4819552161113396
10,true,20,true,0.3,0.5406808240865337,0.8191791416576182
10,true,20,true,0.3,0.479019829754921,0.43529032355929065
10,true,20,true,0.3,0.6047227881250921,0.7896712246301112
10,true,20,true,0.3,0.5035881174899867,0.5567104233916593
10,true,20,true,0.3,0.40501831159803703,0.41165961426896747
10,true,20,true,0.3,0.4291546653278017,0.3991639277882273
10,true,20,true,0.3,0.5818027655641028,0.4880296573218992
10,true,20,true,0.3,0.4904337100448748,0.5473903409397547
10,true,20,true,0.3,0.6014174395689826,0.9016662460683742
10,true,20,true,0.4,0.7963544282605056,1.381467231248867
10,true,20,true,0.4,0.6906644984847363,0.8921201871235374
10,true,20,true,0.4,0.5453761622429585,0.674729456001331
10,true,20,true,0.4,0.5239597985991666,0.4574644244002437
10,true,20,true,0.4,0.8246565183200889,1.075722580978125
10,true,20,true,0.4,0.40034732586220934,0.5514632940197934
10,true,20,true,0.4,0.49373469170423495,0.4428486997492467
10,true,20,true,0.4,0.6082270452064628,0.7367130360705456
10,true,20,true,0.4,0.6212962962962962,1.0853206299763452
10,true,20,true,0.4,0.7194752440363931,0.8404264838818287
10,true,20,true,0.4,0.6355026254142162,0.37010384508521454
10,true,20,true,0.4,0.39620713237384636,0.44817845824273395
10,true,20,true,0.4,0.5610810069277727,0.5921170091210968
10,true,20,true,0.4,0.5762790697674415,0.5938008523030538
10,true,20,true,0.4,0.7831698609281846,1.264401713716409
10,true,20,true,0.4,0.5142770193896182,0.5632257969500198
10,true,20,true,0.4,0.4324866140533407,0.4158636009069445
10,true,20,true,0.4,0.6586206896551725,1.0322924129651332
10,true,20,true,0.4,0.5730102825682131,0.7200800345061786
10,true,20,true,0.4,0.6147990481971838,0.38452907225341715
10,true,20,true,0.4,0.5774444319712618,0.7338853839521784
10,true,20,true,0.4,0.5460533297014837,0.3064191609677476
10,true,20,true,0.4,0.5438426038377459,0.6571292870416467
10,true,20,true,0.4,0.6972722022635396,1.0109926596821133
10,true,20,true,0.4,0.49012000314627807,0.8640876830023902
10,true,20,true,0.4,0.48394419247061676,0.44185645419246367
10,true,20,true,0.4,0.6473605891027969,0.8979453957998516
