Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
I V Vachkov; S.N. Vachkova,Satisfaction with Educational Environment of Subjects of Pedagogical Process as an Indicator of Threats to the Children's Psychological Health,2018,094-251-195-544-880,10.17759/cpse.2018070203,0
V A Ilyin; E A Mikhailova,Development of assessment criteria for profiling the personality of candidates for vacant positions based on an analysis of their activity in social networks,2019,099-432-463-616-495,10.17759/sps.2019100412,0
Alla V. Toropova,Musical-Psychological Anthropology as an Interdisciplinary Field of Scientific Knowledge,2019,100-400-765-733-483,10.31862/2309-1428-2019-7-2-24-40,5
I V Vachkov; null Sukhoruchenkov,Special Aspects of Sensual Images During Imago Therapy Process,2017,104-204-195-807-985,10.17759/cpse.2017060409,0
Mikhail Boguslavsky; Natalya Ladyzhets;Egor V. Neborsky; Olga Sannikova,Working conditions at a regional university in assessments of faculty,2020,105-629-514-230-002,10.15862/51pdmn220,0
E.A. Sorokoumova; D.S. Fadeev; S.L. Kiyashchenko,Understanding of a Metaphor as a Way of External Representation of the Meanings of Individual’s Value Orientations,2021,109-533-639-093-215,10.17759/pse.2021260409,1
Mikhail Boguslavsky; Nataliya S Ladyzhets;Egor V. Neborsky; Olga Sannikova,The strategy of interaction between a transitive university and external actors in ensuring the reduction of migration risks,2019,111-530-569-698-945,10.15862/25pdmn619,0
S.V. Murafa; A.А. Pavlova; E.V. Trifonova,Psychological and Pedagogical Conditions of Development of Abilities of Children and Support of Their Giftedness in the Conditions of Realization of Educational Process,2020,116-134-962-166-301,10.17759/bppe.2019160201,2
А С Каткова;Вачков,Психологические детерминанты возникновения внутриличностных противоречий студентов,2020,116-978-296-074-527,10.17759/cpse.2020090213,1
Maria A. Kozlova; Aleksey V. Kozlov; Alexander V. Tarasov,USING METAPHORICAL ASSOCIATIVE CARDS FOR NORMALIZATION OF ANXIETY AND DEPRESSION IN STUDENTS,2022,118-714-529-444-618,10.12731/2658-4034-2022-13-6-181-195,0
Т А Басилова; Е А Малхасьян,"Вопреки всем преградам, воздвигнутым самой природой",2019,119-616-752-313-722,10.17759/cpse.2019080210,0
Egor V. Neborsky,Digital ecosystem as an instrument of digital transformation of the university,2021,120-539-202-116-221,10.15862/02pdmn421,7
Egor V. Neborsky,Digital university as an integrative methodological construct,2021,121-065-606-054-332,10.15862/41pdmn321,2
А.А. Реан; И.Л. Шагалов,Роль восприятия полиции и чиновников в агрессивности молодежи,2022,124-873-714-264-024,10.17323/1813-8918-2022-1-93-109,0
Marina I. Rozenova; Mariya A. Opiteva,Metaphors as a tool to study cognitive models of the family,2017,131-760-188-964-145,10.18384/2224-0209-2017-3-821,2
Artur Rean; Andrey Shevchenko,The use of gamification in the empathy development and prevention of bullying as a form of deviant behavior,2022,131-870-863-983-401,10.35750/2713-0622-2022-3-288-298,0
A I Chetverikova; V V Ermolaev; Olga Tkachenko,Cognitive maps influence over driving strategies in Russia: analyzing Driving Anger Expression Inventory (DAX) and Dula Dangerous Driving Index (DDDI) factors,2017,137-152-943-381-904,10.17759/sps.2017080408,2
Е.Т. Соколова; Д.А. Хорошилов,Глубинная герменевтика в визуальном анализе (на примере фильма В. Аллена «Зелиг»),2018,145-187-971-675-512,10.17759/sps.2018090312,1
T.N. Sakharova; N.A. Tsvetkova,Innovative аpproaches to the еducation and upbringing of children of generations Z and α in the context of their psychological characteristics,2024,148-123-812-473-039,10.31862/2500-297x-2024-1-205-223,0
А. N. Khovrin; G. B. Khovrina,PSYCHOLOGICAL AGE OF ADOLESCENTS: NORMAL OR DEVIATION,2019,153-904-710-367-457,10.46991/sbmp/2019.2.2(5).022,0
I V Vachkov,Предисловие тематического редактора,2021,155-709-903-783-923,10.17759/cpse.2021100201,0
Natalia Y. Leskonog; Lyubov F. Shalamova,Summer pedagogical practice of МPSU students in organizations of children’s recreation and health improvement as counselors,2020,168-519-441-845-37X,10.31862/2500-297x-2020-2-139-149,1
E.V. Trifonova,"Children's Play in Cultural-Historical Psychology: Substitution, Loss and Recreation of the Ideal Form of Activity in the Educational Space",2022,188-446-361-426-539,10.17759/chp.2022180301,6
