academic-mobility-radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total-teachers,teacher-turnover-rate,mean-school-vacancy-rate,satisfaction-inequality,mean-satisfaction-poor-schools,mean-satisfaction-good-schools,unemployment-rate,mean-satisfaction-all
5,0.1,1000,0.1,868,0.5117647058823529,0.9613333333333335,0.17766640029628142,0.32000000000000023,0.7451031487513581,0.0034562211981566822,0.557999999999997
5,0.1,1000,0.1,875,0.4858823529411765,0.9506666666666667,0.14883882278173072,0.33705607476635563,0.7179207920792093,0.002285714285714286,0.5278655975563188
5,0.1,1000,0.1,855,0.5070588235294118,0.9933333333333335,0.18985356785251958,0.32190140845070464,0.7741242937853113,0.004678362573099415,0.5207677242459862
5,0.1,1000,0.1,909,0.46588235294117647,0.9633333333333335,0.20401832135319248,0.26019138755980875,0.7573846153846143,0.0044004400440044,0.5781657458563506
5,0.1,1000,0.1,854,0.4752941176470588,0.9933333333333332,0.18632268404174038,0.3170663265306129,0.7372580645161301,0.00585480093676815,0.4871652925009803
5,0.1,1000,0.1,873,0.47411764705882353,0.9546666666666668,0.2047535340779917,0.2901704545454546,0.7679517133956378,0.003436426116838488,0.5913333333333313
5,0.1,1000,0.1,880,0.4764705882352941,0.9659999999999999,0.21502988601783618,0.3062277580071179,0.7810550887021471,0.004545454545454545,0.5516210045662087
5,0.1,1000,0.1,856,0.46588235294117647,0.9346666666666668,0.1443934406168424,0.276,0.7062179487179504,0.002336448598130841,0.5573653395784529
5,0.1,1000,0.1,851,0.5141176470588236,0.9440000000000004,0.18328195966379934,0.2988965517241381,0.7512660256410228,0.0023501762632197414,0.6019395367098526
5,0.1,1000,0.1,856,0.4611764705882353,0.9493333333333336,0.18123186241831007,0.29232954545454537,0.7418674698795188,0.0035046728971962616,0.5704611176240703
5,0.1,1000,0.3,854,0.4976470588235294,0.9413333333333335,0.2579024431678218,0.12690476190476194,0.8047686832740247,0.00351288056206089,0.5432784958871938
5,0.1,1000,0.3,846,0.4858823529411765,0.9593333333333334,0.25937126301760854,0.15675883256528383,0.8112323943662,0.004728132387706856,0.5269794140934303
5,0.1,1000,0.3,869,0.44941176470588234,0.9819999999999999,0.2852287758403782,0.1777740492170027,0.8625099601593654,0.005753739930955121,0.49545138888889007
5,0.1,1000,0.3,869,0.48470588235294115,0.9526666666666663,0.27597985575268696,0.15517073170731688,0.8294864864864898,0.0034522439585730723,0.5772555812163228
5,0.1,1000,0.3,869,0.47411764705882353,0.986,0.314344384501229,0.13287431693989074,0.8531525423728842,0.006904487917146145,0.4975280030899966
5,0.1,1000,0.3,867,0.49058823529411766,0.9413333333333335,0.2816873408137777,0.13885964912280704,0.8583568075117417,0.002306805074971165,0.6219576107899837
5,0.1,1000,0.3,862,0.4623529411764706,0.9773333333333333,0.271028514486144,0.12338283828382829,0.8308480565371044,0.004640371229698376,0.5409285159285182
5,0.1,1000,0.3,876,0.44941176470588234,0.9420000000000001,0.25269734895041257,0.17377887788778867,0.8492307692307702,0.003424657534246575,0.5334478808705642
5,0.1,1000,0.3,861,0.4588235294117647,0.9773333333333335,0.3036186651257262,0.10223255813953494,0.8451002865329538,0.004645760743321719,0.5566588875923775
5,0.1,1000,0.5,867,0.4811764705882353,0.8866666666666663,0.15244434934035608,0,0.8180846325167082,0,0.685128796616687
5,0.1,1000,0.5,858,0.5070588235294118,0.8873333333333333,0.18281503336214827,0,0.861662707838481,0,0.6846620046620073
5,0.1,1000,0.3,851,0.4470588235294118,0.9766666666666669,0.2682178963157928,0.164587813620072,0.8214847161572063,0.005875440658049354,0.48175728920409816
5,0.1,1000,0.5,823,0.47294117647058825,0.8913333333333333,0.1816752294190876,0,0.8461516853932609,0,0.6573066018631059
5,0.1,1000,0.5,881,0.4788235294117647,0.8826666666666667,0.15973679680686895,0,0.8413611111111141,0,0.6623155505107837
5,0.1,1000,0.5,901,0.44823529411764707,0.88,0.1620140385607222,0,0.8271891891891929,0,0.6554273029966716
5,0.1,1000,0.5,855,0.48470588235294115,0.8866666666666668,0.1571013569812549,0,0.8348505747126466,0,0.6972241715399625
5,0.1,1000,0.5,849,0.45176470588235296,0.8880000000000001,0.1623594950882598,0,0.8302742616033778,0,0.6962151550844141
5,0.1,1000,0.5,896,0.45294117647058824,0.88,0.1699822858698306,0,0.8480738786279712,0,0.6650372023809548
5,0.1,1000,0.7,840,0.5223529411764706,0.8879999999999999,0.17344447848283212,0,0.8311842105263193,0,0.6546428571428605
5,0.1,1000,0.5,838,0.4929411764705882,0.8873333333333333,0.18267125149807034,0,0.8598543689320404,0,0.6890692124105023
5,0.1,1000,0.5,880,0.47058823529411764,0.8873333333333335,0.16342188242645805,0,0.8270990990991042,0,0.7174772727272739
5,0.1,1000,0.7,831,0.4823529411764706,0.8933333333333335,0.16278419045083978,0,0.8289306930693126,0,0.7124107501002813
5,0.1,1000,0.7,857,0.4894117647058824,0.8880000000000001,0.1891856988235447,0,0.8624713958810094,0,0.6892298716452762
5,0.1,1000,0.7,866,0.45529411764705885,0.8873333333333333,0.1677861816764806,0,0.8314945054945089,0,0.6888337182448055
5,0.1,1000,0.7,863,0.47411764705882353,0.8866666666666665,0.18430323050149588,0,0.8563937621832384,0,0.717991502510625
5,0.1,1000,0.7,876,0.46941176470588236,0.8873333333333335,0.16571005870449018,0,0.8519377162629783,0,0.6334398782344008
5,0.1,1000,0.7,810,0.49411764705882355,0.8933333333333331,0.18178689384929508,0,0.8528606965174144,0,0.680769547325105
5,0.1,1000,0.7,867,0.48,0.8866666666666665,0.1574742041997549,0,0.8265835411471358,0,0.670322952710498
5,0.1,1000,0.7,869,0.5,0.8846666666666666,0.12947232282752108,0,0.8055069582505011,0,0.7105983889528185
5,0.1,20000,0.1,878,0.4470588235294118,0.9666666666666667,0.1905692872808512,0.31654545454545474,0.7625089605734765,0.004555808656036446,0.527452326468344
5,0.1,20000,0.1,839,0.49176470588235294,0.9866666666666668,0.19964289212514452,0.2999624060150374,0.7406024096385546,0.004767580452920143,0.5473892215568835
5,0.1,20000,0.1,867,0.4894117647058824,0.9879999999999998,0.1918402982755408,0.3104255319148935,0.7283282980866079,0.00461361014994233,0.5395249130938556
5,0.1,20000,0.1,926,0.4505882352941176,0.9593333333333334,0.19449558097040626,0.3071428571428574,0.7711444141689362,0.0032397408207343412,0.572737450343084
5,0.1,1000,0.7,858,0.5011764705882353,0.8873333333333333,0.1590106291540657,0,0.8200000000000042,0,0.6773931623931655
5,0.1,20000,0.1,871,0.48470588235294115,0.9606666666666667,0.1800114051629095,0.3130714285714287,0.7209732360097344,0.004592422502870264,0.5363898500576686
5,0.1,20000,0.1,864,0.47058823529411764,0.9660000000000001,0.1752018639389876,0.30989743589743574,0.7517031630170327,0.003472222222222222,0.5535075493612075
5,0.1,20000,0.1,837,0.48,0.9413333333333332,0.19018754134654778,0.3005913978494619,0.7549236298292898,0.0023894862604540022,0.5817764471057867
5,0.1,20000,0.1,872,0.46588235294117647,0.9720000000000001,0.1886995843330339,0.3115748031496063,0.7302414113277624,0.0034403669724770644,0.5489182968929796
