year,year_month,month_start,n_authors_active,ti_mean,ti_median
2006,2006-01,2006-01-01,8,0.895080433360725,0.45502782376314904
2006,2006-02,2006-02-01,24,0.7948572257283665,0.45502782376314904
2006,2006-03,2006-03-01,67,0.556469980815932,-0.06599418756674129
2006,2006-04,2006-04-01,140,0.369870429710835,-0.14851748491002167
2006,2006-05,2006-05-01,178,0.3886120499809204,-0.05131524233632281
2006,2006-06,2006-06-01,41,0.37978248917009205,0.0861081607455535
2006,2006-07,2006-07-01,32,0.7338984871653312,0.28072611517844337
2006,2006-08,2006-08-01,17,1.0534444364840017,0.7824116250443316
2006,2006-09,2006-09-01,109,-0.11103168861723146,-0.5035415517534523
2006,2006-10,2006-10-01,219,-0.1847998526501831,-0.5250336114539843
2006,2006-11,2006-11-01,374,-0.10954003418086901,-0.5199699578739155
2006,2006-12,2006-12-01,329,-0.08485152985743077,-0.5227894069773167
2007,2007-01,2007-01-01,187,0.5019450850008521,-0.036933432439648584
2007,2007-02,2007-02-01,257,0.1873085023779293,-0.24846836740979472
2007,2007-03,2007-03-01,299,0.40493147858378226,-0.12808449468360464
2007,2007-04,2007-04-01,361,0.24353150805459378,-0.14166639918777424
2007,2007-05,2007-05-01,384,0.4438056912094555,-0.0756008712757559
2007,2007-06,2007-06-01,294,0.678613956637856,0.25931327463114995
2007,2007-07,2007-07-01,202,0.6545362243919632,0.26492710687158727
2007,2007-08,2007-08-01,168,0.7506351483710093,0.30033321240682337
2007,2007-09,2007-09-01,343,0.46370514687571945,0.06145929147298124
2007,2007-10,2007-10-01,700,0.3331772903076234,0.025141919847679058
2007,2007-11,2007-11-01,828,0.26566667776047953,-0.01683381642991142
2007,2007-12,2007-12-01,890,0.1760411489241612,-0.056153924673879405
2008,2008-01,2008-01-01,680,0.19061013507523153,-0.09344291866165878
2008,2008-02,2008-02-01,784,0.20526382343154012,-0.09923247737851434
2008,2008-03,2008-03-01,682,0.2588473460304306,-0.0672118218627461
2008,2008-04,2008-04-01,769,0.2344833094769141,-0.0699321376659051
2008,2008-05,2008-05-01,852,0.3182637940148218,-0.01426903806526916
2008,2008-06,2008-06-01,514,0.5391980681269118,0.25439859829359407
2008,2008-07,2008-07-01,117,0.8422808758564214,0.57284400714645
2008,2008-08,2008-08-01,127,0.6888436345222276,0.45531872566464726
2008,2008-09,2008-09-01,398,0.4745723957367345,0.15094036345237816
2008,2008-10,2008-10-01,864,0.24060781093051772,-0.13044129855868103
2008,2008-11,2008-11-01,819,0.08596458814935902,-0.32181226472428537
2008,2008-12,2008-12-01,806,0.11082210245930807,-0.2462355027047598
2009,2009-01,2009-01-01,426,0.46747502454972345,0.18698127186366445
2009,2009-02,2009-02-01,685,0.21492945583282302,-0.07461231407318697
2009,2009-03,2009-03-01,629,0.2405406716476794,-0.1206030554697165
2009,2009-04,2009-04-01,794,0.20932580583865493,-0.22610302162004703
2009,2009-05,2009-05-01,738,0.23348922648178763,-0.13891567207736177
2009,2009-06,2009-06-01,377,0.45448993310846886,0.2703697857818224
2009,2009-07,2009-07-01,181,0.6565513917429743,0.5017187580261799
2009,2009-08,2009-08-01,165,1.1789590460677528,1.1428139230235983
2009,2009-09,2009-09-01,390,0.45029357337122006,0.19610609621704
2009,2009-10,2009-10-01,703,0.27047906654825793,0.06449448345310049
2009,2009-11,2009-11-01,731,0.408922863108112,0.11715194681052224
2009,2009-12,2009-12-01,622,0.34714685421871067,0.1276584777612968
2010,2010-01,2010-01-01,481,0.4360925291913218,0.2050345200152576
2010,2010-02,2010-02-01,495,0.3684704384596152,0.15939738528087996
2010,2010-03,2010-03-01,515,0.4966583015701124,0.2382220453653917
2010,2010-04,2010-04-01,665,0.4361098139992065,0.19389186395978528
2010,2010-05,2010-05-01,499,0.4203441516063893,0.1679477950356155
2010,2010-06,2010-06-01,222,0.5567455428576729,0.33580332636153165
2010,2010-07,2010-07-01,112,0.7124470575894595,0.5858098870079675
2010,2010-08,2010-08-01,197,0.9971507736537774,0.8621096180679393
2010,2010-09,2010-09-01,341,0.5682416967863203,0.28258514587661
2010,2010-10,2010-10-01,551,0.4223629206441792,0.18559278761923265
2010,2010-11,2010-11-01,628,0.3917537393892526,0.192109240505085
2010,2010-12,2010-12-01,362,0.2742135296112691,-0.00508866809884811
2011,2011-01,2011-01-01,453,0.44292798324899363,0.28262922115952904
2011,2011-02,2011-02-01,538,0.3746985333706263,0.16832139957345194
2011,2011-03,2011-03-01,394,0.4103633055404904,0.14030942283426184
2011,2011-04,2011-04-01,504,0.7556756845280733,0.5625080752512688
2011,2011-05,2011-05-01,377,0.7273186330201992,0.6028814419843007
2011,2011-06,2011-06-01,135,0.45995893228633156,0.3019135784049955
2011,2011-07,2011-07-01,64,0.7052905893197897,0.5251542809243785
2011,2011-08,2011-08-01,261,1.0900622731889964,1.006840037993496
2011,2011-09,2011-09-01,177,0.7073259313627172,0.5221763019206103
2011,2011-10,2011-10-01,659,0.5116293327956808,0.298419405741345
2011,2011-11,2011-11-01,696,0.4969118527916797,0.30105790526022363
2011,2011-12,2011-12-01,363,0.5200852981285891,0.3739515581356291
2012,2012-01,2012-01-01,213,0.5250594551515471,0.2218062839326983
2012,2012-02,2012-02-01,238,0.3644070571655308,0.00780247479058545
2012,2012-03,2012-03-01,251,0.38515721666392894,0.04883706767412617
2012,2012-04,2012-04-01,445,0.237509658939116,-0.06345837679876824
2012,2012-05,2012-05-01,469,0.28765343723884296,0.01416746093773355
2012,2012-06,2012-06-01,117,0.4648245177757295,0.16593930459787343
2012,2012-07,2012-07-01,52,0.42358034613533424,0.25244626634054834
2012,2012-08,2012-08-01,62,0.6388009998583176,0.31316712042174105
2012,2012-09,2012-09-01,218,0.33356248862965887,0.06732408942984965
2012,2012-10,2012-10-01,251,0.26859156241906146,-0.11573558831999493
2012,2012-11,2012-11-01,430,0.22743355333511894,-0.04659828346636849
2012,2012-12,2012-12-01,488,0.3807500787249617,0.18448665908183667
2013,2013-01,2013-01-01,1425,0.46050160176592375,-0.09864789818169868
2013,2013-02,2013-02-01,896,0.3212917565463976,-0.2892335971207993
2013,2013-03,2013-03-01,958,0.43315308971622923,0.10403888201635067
2013,2013-04,2013-04-01,1318,0.1381787536751561,-0.30937851294573926
2013,2013-05,2013-05-01,635,-0.011822688340744668,-0.3612600451410455
2013,2013-06,2013-06-01,90,0.7195026275623689,0.46485514061884814
2013,2013-07,2013-07-01,43,0.8507588811093264,0.5952493827233236
2013,2013-08,2013-08-01,93,0.551360715030759,0.23415415270531673
2013,2013-09,2013-09-01,581,0.09867952859513851,-0.11222639528446715
2013,2013-10,2013-10-01,519,0.046346065266993704,-0.11755792402442009
2013,2013-11,2013-11-01,379,0.1579135391568271,-0.08368111755662934
2013,2013-12,2013-12-01,421,0.08526079806156818,-0.17701303961221904
