Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
T D Karyagina,International Conference on Counseling Psychology and Psychotherapy in the Memory of Fyodor E. Valisyuk,2019,004-768-812-019-115,10.17759/cpp.2019270112,1
Д.А. Хорошилов; Е.Ю. Балашова,Качественные методы в социальной и клинической психологии: пролегомены к междисциплинарному диалогу,2018,004-769-031-453-781,10.17759/sps.2018090303,3
И Б Умняшова; И А Егоров,Нормативные основания организации психолого-педагогической экспертизы в системе образования Российской Федерации,2016,004-781-126-406-074,10.17759/psylaw.2016060312,4
N V Kochetkov,The new old paradigm of research on social cognition: a monograph on social psychology written by clinical psychologists through the prism of cultural-historical theory,2017,004-798-703-911-021,10.17759/sps.2017080412,1
D.S. Karpov; M.S. Karpova; S.P. Popova;A.B. Kholmogorova,Validation of the Russianversion of the Maudsley Obsessive-Compulsive Inventory (MOCI) in Population and Clinical Samples,2022,004-866-211-993-43X,10.17759/cpp.2022300303,1
O.V. Rubtsova,Digital Media as a New Means of Mediation (Part One),2019,004-967-751-293-162,10.17759/chp.2019150312,39
V.U. Kapustina; E A Zikeeva,Formation of Educational Motivation and Thinking in Students by Means of Virtual Reality,2021,005-060-371-554-35X,10.17759/exppsy.2021000005,3
V.G. Anikina; E.G. Khoze; I.V. Strizhova,Dynamics of Mental States of Learners Working with Didactic VR Programs Using Virtual Reality Technologies,2021,005-153-927-305-221,10.17759/exppsy.2021140407,10
A.B. Kholmogorova;O.D. Pugovkina; D.D. Vedmitskaya,Readings in the Memory of Bluma Zeigarnik: Preliminary Outcomes,2020,005-173-738-616-360,10.17759/cpp.2020280411,0
Alexandr Veraksa; D A Bukhalenkova; E.A. Chichinina; Olga V. Almazova,Relationship Between the Use of Digital Devices and Personal and Emotional Development in Preschool Children,2021,005-219-404-442-250,10.17759/pse.2021260101,7
N V Meshkova; S N Enikolopov; V.T. Kudryavtsev; M.N. Bochkova; I.A. Meshkov,Predictors of Negative Creativity in Adults on the Example of Cadets,2021,005-255-393-931-937,10.17759/psylaw.2021110407,3
Т И Кузьмина,Narrative Self-Representations of Socially Oriented Expectations of Persons with Intellectual Disabilities,2021,005-283-638-083-269,10.17759/cpse.2021100309,1
А.А. Корнеев; Д.И. Ломакин; А.В. Курганский; Р.И. Мачинская,Удержание вербальной и невербальной серийной информации в рабочей памяти,2022,005-420-363-660-298,10.17323/1813-8918-2022-2-303-322,1
I V Dubrovina; D V Lubovsky,Role of Psychological Culture of Teachers in Supporting Implementation of Basic Education Standards,2017,005-421-379-882-21X,10.17759/pse.2017220407,3
A. K. Drozdovski; A. A. Banayan; L. G. Ulyaeva,Psycho-physiological approach to the problem of giftedness and high-quality sports selection,2021,005-422-864-682-03X,10.15826/spp.2021.1-2.11,0
N.V. Pavlova; E.V. Filippova,The co-relation of eating behavior and body image formation in children and adolescents in the context of child-parent relationships,2020,005-487-229-068-863,10.17759/jmfp.2020090403,4
