num-grain-grown,percent-best-land,metabolism-max,max-vision,num-people,grain-growth-interval,life-expectancy-min,turtles,life-expectancy-max,red,green,blue,gini-index-reserve / num-people
2,10,5,3,250,1,5,250,70,184,53,13,0.20618627997769118
2,10,5,3,250,1,5,250,60,197,40,13,0.23188007548548126
2,10,5,3,250,1,5,250,50,210,30,10,0.2218423913043478
2,10,5,3,250,1,5,250,70,185,54,11,0.21110005589714914
2,10,5,3,250,1,5,250,70,197,42,11,0.21870544995118596
2,10,5,3,250,1,5,250,60,196,42,12,0.23395102733499004
2,10,5,3,250,1,5,250,50,210,31,9,0.22728743641558083
2,10,5,3,250,1,5,250,70,198,41,11,0.21727472154689886
2,10,5,3,250,1,5,250,60,201,38,11,0.23560822734741088
2,10,5,3,250,1,5,250,60,205,35,10,0.23642535938075948
2,10,5,3,250,1,5,250,50,209,32,9,0.22677977451315343
2,10,5,3,250,1,5,250,70,198,42,10,0.22050773959206488
2,10,5,3,250,1,5,250,60,208,33,9,0.23564026995232498
2,10,5,3,250,1,5,250,50,205,36,9,0.22247224998334328
2,10,5,3,250,1,5,250,70,201,41,8,0.22600592592592605
2,10,5,3,250,1,5,250,70,192,47,11,0.22499339297199322
2,10,5,3,250,1,5,250,50,205,36,9,0.2202646766169155
2,10,5,3,250,1,5,250,60,210,31,9,0.237454489278873
2,10,5,3,250,1,5,250,50,210,33,7,0.21989995129757184
2,10,5,3,250,1,5,250,70,193,47,10,0.22872552335413154
2,10,5,3,250,1,5,250,60,211,31,8,0.23060867986199393
2,10,5,3,250,1,5,250,50,213,30,7,0.2240518134715027
2,10,5,3,250,1,5,250,70,196,44,10,0.2299121007227793
2,10,5,3,250,1,5,250,50,215,28,7,0.22420738288839318
2,10,5,3,250,1,5,250,60,215,28,7,0.22600097335442287
2,10,5,3,250,1,5,250,70,197,43,10,0.2348380597449484
2,10,5,3,250,1,5,250,60,223,22,5,0.22456393241167438
2,10,5,3,250,1,5,250,50,221,22,7,0.22628196721311492
2,10,5,3,250,1,5,250,70,197,44,9,0.2339949100584188
2,10,5,3,250,1,5,250,50,221,24,5,0.22336346628751041
2,10,5,3,250,1,5,250,60,224,22,4,0.2237644952145726
2,10,5,3,250,1,5,250,70,194,45,11,0.2315515614468658
2,10,5,3,250,1,5,250,60,227,20,3,0.22468858702551728
2,10,5,3,250,1,5,250,70,196,44,10,0.23377593546941525
2,10,5,3,250,1,5,250,50,224,23,3,0.22093343558282208
2,10,5,3,250,1,5,250,70,195,46,9,0.23448565725691475
2,10,5,3,250,1,5,250,70,203,40,7,0.23425295167885724
2,10,5,3,250,1,5,250,50,229,18,3,0.22101045929968174
2,10,5,3,250,1,5,250,60,227,20,3,0.23319193192562254
2,10,5,3,250,1,5,250,70,200,43,7,0.23607154675643308
2,10,5,3,250,1,5,250,70,198,45,7,0.23667564534231209
2,10,5,3,250,1,5,250,60,228,19,3,0.23697235197576066
2,10,5,3,250,1,5,250,50,231,16,3,0.22416260038240926
2,10,5,3,250,1,5,250,50,232,15,3,0.22930141275295923
2,10,5,3,250,1,5,250,60,231,17,2,0.24327313082630464
2,10,5,3,250,1,5,250,70,196,46,8,0.23675240092725475
2,10,5,3,250,1,5,250,50,233,16,1,0.21372562269191475
2,10,5,3,250,1,5,250,70,195,47,8,0.2374765966754156
2,10,5,3,250,1,5,250,60,233,15,2,0.24706562461233095
2,10,5,3,250,1,5,250,60,234,14,2,0.25234340642080794
2,10,5,3,250,1,5,250,50,235,14,1,0.21046815676668718
2,10,5,3,250,1,5,250,70,198,45,7,0.23716672364672364
2,10,5,3,250,1,5,250,70,200,44,6,0.23827388498657986
2,10,5,3,250,1,5,250,50,237,12,1,0.2081387327738857
2,10,5,3,250,1,5,250,60,236,12,2,0.2503102507140591
2,10,5,3,250,1,5,250,60,235,13,2,0.25018494055482166
2,10,5,3,250,1,5,250,50,239,10,1,0.20665858806973658
2,10,5,3,250,1,5,250,70,200,43,7,0.235367645391679
2,10,5,3,250,1,5,250,60,236,12,2,0.2529140154214993
2,10,5,3,250,1,5,250,60,238,10,2,0.2480496384600351
2,10,5,3,250,1,5,250,50,240,9,1,0.21261272040302262
2,10,5,3,250,1,5,250,70,200,43,7,0.2353084854165519
2,10,5,3,250,1,5,250,50,240,9,1,0.21933312455961798
2,10,5,3,250,1,5,250,70,208,36,6,0.2354311758298458
2,10,5,3,250,1,5,250,50,209,37,4,0.20943995253835065
2,10,5,3,250,1,5,250,70,213,32,5,0.23571805037313445
2,10,5,3,250,1,5,250,70,201,35,14,0.2297570743405276
2,10,5,3,250,1,5,250,50,213,33,4,0.20641961043248613
2,10,5,3,250,1,5,250,60,237,11,2,0.25087166945552836
2,10,5,3,250,1,10,250,50,81,92,77,0.15630267062314537
2,10,5,3,250,1,5,250,60,237,11,2,0.25335157196607366
2,10,5,3,250,1,10,250,50,72,99,79,0.14155685427518738
2,10,5,3,250,1,5,250,60,236,12,2,0.25863678555534353
2,10,5,3,250,1,10,250,50,74,110,66,0.13222987758639365
2,10,5,3,250,1,10,250,50,72,129,49,0.13112293368801067
2,10,5,3,250,1,10,250,60,81,84,85,0.15458781146802764
2,10,5,3,250,1,10,250,50,81,128,41,0.12904965517241382
2,10,5,3,250,1,10,250,60,92,115,43,0.14431598269306412
2,10,5,3,250,1,10,250,60,97,124,29,0.1407199821786591
2,10,5,3,250,1,10,250,50,88,123,39,0.13709715600854863
2,10,5,3,250,1,10,250,60,94,124,32,0.13422151100766172
2,10,5,3,250,1,10,250,70,77,92,81,0.14866803278688548
2,10,5,3,250,1,10,250,50,75,136,39,0.13646829802204682
2,10,5,3,250,1,10,250,60,86,127,37,0.1322129989403038
2,10,5,3,250,1,10,250,70,74,104,72,0.13144870694938107
2,10,5,3,250,1,10,250,70,77,123,50,0.12697195096613342
2,10,5,3,250,1,10,250,60,106,120,24,0.1354070284324417
2,10,5,3,250,1,10,250,50,86,128,36,0.14248829738412125
2,10,5,3,250,1,10,250,70,72,148,30,0.12327221050701384
2,10,5,3,250,1,10,250,50,90,125,35,0.14659573842762674
2,10,5,3,250,1,10,250,60,93,133,24,0.1367215457054719
2,10,5,3,250,1,10,250,60,121,112,17,0.14454712789590607
2,10,5,3,250,1,10,250,70,80,146,24,0.12207581227436828
2,10,5,3,250,1,10,250,60,129,106,15,0.14941133118378622
2,10,5,3,250,1,10,250,70,87,139,24,0.13101018649114557
2,10,5,3,250,1,10,250,50,98,120,32,0.1484352119630387
2,10,5,3,250,1,10,250,60,136,100,14,0.15929886277482955
2,10,5,3,250,1,10,250,50,122,100,28,0.16337999302892997
2,10,5,3,250,1,10,250,60,133,105,12,0.16172565198172978
2,10,5,3,250,1,10,250,70,91,134,25,0.133602735652691
2,10,5,3,250,1,10,250,50,122,100,28,0.1681376959781868
2,10,5,3,250,1,10,250,60,148,93,9,0.16900491471523554
2,10,5,3,250,1,10,250,50,125,99,26,0.1675378730961
2,10,5,3,250,1,10,250,60,164,79,7,0.17182649727767704
2,10,5,3,250,1,10,250,70,90,135,25,0.13986434136230436
2,10,5,3,250,1,10,250,50,134,88,28,0.16694223278537015
2,10,5,3,250,1,10,250,60,164,79,7,0.1728604534725699
2,10,5,3,250,1,10,250,50,138,88,24,0.1740352878747678
2,10,5,3,250,1,10,250,60,173,72,5,0.17745360312389052
2,10,5,3,250,1,10,250,70,100,125,25,0.1473077727431161
2,10,5,3,250,1,10,250,50,151,81,18,0.17934579935017564
2,10,5,3,250,1,10,250,60,174,72,4,0.17985558852621175
2,10,5,3,250,1,10,250,60,185,62,3,0.18382379403418916
2,10,5,3,250,1,10,250,50,161,74,15,0.17915862250609077
2,10,5,3,250,1,10,250,70,119,110,21,0.15306390540632914
2,10,5,3,250,1,10,250,50,167,71,12,0.18120556675554403
2,10,5,3,250,1,10,250,60,187,60,3,0.19301118881118887
2,10,5,3,250,1,10,250,70,123,109,18,0.16046080760095002
2,10,5,3,250,1,10,250,50,175,66,9,0.1809224362311296
2,10,5,3,250,1,10,250,60,187,59,4,0.19458695501490253
2,10,5,3,250,1,10,250,50,180,60,10,0.18007699824115705
2,10,5,3,250,1,10,250,60,188,54,8,0.19809097885997348
2,10,5,3,250,1,10,250,70,124,101,25,0.1677056157635469
2,10,5,3,250,1,10,250,60,187,50,13,0.2037515825010551
2,10,5,3,250,1,10,250,70,135,92,23,0.17159202950119687
2,10,5,3,250,1,10,250,50,178,62,10,0.1828509816543291
2,10,5,3,250,1,10,250,60,186,51,13,0.20177666943751743
2,10,5,3,250,1,10,250,50,184,56,10,0.1880211654037105
2,10,5,3,250,1,10,250,70,143,85,22,0.17892451637375145
2,10,5,3,250,1,10,250,60,184,52,14,0.20362608575761765
2,10,5,3,250,1,10,250,70,151,78,21,0.18384842837619603
2,10,5,3,250,1,10,250,60,193,45,12,0.20771519645208233
2,10,5,3,250,1,10,250,50,183,57,10,0.19357561839774295
2,10,5,3,250,1,10,250,60,190,49,11,0.20662416334257333
2,10,5,3,250,1,10,250,70,153,76,21,0.1919516129032259
2,10,5,3,250,1,10,250,60,193,45,12,0.2105649640970058
2,10,5,3,250,1,10,250,50,176,63,11,0.1991928594612139
2,10,5,3,250,1,10,250,50,179,56,15,0.20359683281412252
2,10,5,3,250,1,10,250,60,193,46,11,0.2071963561407008
2,10,5,3,250,1,10,250,70,158,72,20,0.19520760602243412
2,10,5,3,250,1,10,250,60,186,50,14,0.21049651941968647
2,10,5,3,250,1,10,250,70,163,66,21,0.2037388193202145
2,10,5,3,250,1,10,250,50,176,58,16,0.20379804310289684
2,10,5,3,250,1,10,250,60,194,43,13,0.2168276324614353
2,10,5,3,250,1,10,250,70,168,63,19,0.20895047418335083
2,10,5,3,250,1,10,250,50,182,55,13,0.2099588520508454
2,10,5,3,250,1,10,250,60,202,37,11,0.2161285339953109
2,10,5,3,250,1,10,250,70,173,57,20,0.21818605766348978
2,10,5,3,250,1,10,250,50,184,53,13,0.21509738969126807
2,10,5,3,250,1,10,250,60,201,38,11,0.21192908187572315
2,10,5,3,250,1,10,250,70,178,57,15,0.21454619325207555
2,10,5,3,250,1,10,250,50,196,43,11,0.21567530508706984
2,10,5,3,250,1,10,250,70,185,51,14,0.2141669847328245
2,10,5,3,250,1,10,250,60,202,39,9,0.21417415573541723
2,10,5,3,250,1,10,250,50,204,39,7,0.2063890799970724
2,10,5,3,250,1,10,250,50,209,34,7,0.20912375027771613
2,10,5,3,250,1,10,250,60,201,40,9,0.21338537862605944
2,10,5,3,250,1,10,250,70,191,48,11,0.21348196291216998
2,10,5,3,250,1,10,250,50,212,32,6,0.2129645369284878
2,10,5,3,250,1,10,250,70,199,41,10,0.22062325015216075
2,10,5,3,250,1,10,250,50,215,29,6,0.21699572296841005
2,10,5,3,250,1,10,250,60,206,35,9,0.21800082850041438
2,10,5,3,250,1,10,250,50,220,25,5,0.220657040832169
2,10,5,3,250,1,10,250,60,210,32,8,0.21860548137737174
2,10,5,3,250,1,10,250,70,201,40,9,0.22149467092190034
2,10,5,3,250,1,10,250,60,212,29,9,0.2212396857971836
2,10,5,3,250,1,10,250,50,223,23,4,0.2181867776236708
2,10,5,3,250,1,10,250,70,200,41,9,0.22498944844124708
2,10,5,3,250,1,10,250,60,214,28,8,0.21872526539278134
2,10,5,3,250,1,10,250,70,197,44,9,0.2295877643685029
2,10,5,3,250,1,10,250,50,225,21,4,0.21726344493258593
2,10,5,3,250,1,10,250,60,214,28,8,0.2239921724898598
2,10,5,3,250,1,10,250,60,217,25,8,0.22903929259074388
2,10,5,3,250,1,10,250,70,199,44,7,0.2270951537004217
2,10,5,3,250,1,10,250,50,221,25,4,0.21734299079523156
2,10,5,3,250,1,10,250,70,201,42,7,0.22453713309330575
2,10,5,3,250,1,10,250,60,217,25,8,0.22932320441988957
2,10,5,3,250,1,10,250,50,221,25,4,0.21781688677845373
2,10,5,3,250,1,10,250,70,210,34,6,0.22218182938096698
2,10,5,3,250,1,10,250,60,216,28,6,0.22706434591927638
2,10,5,3,250,1,10,250,70,214,30,6,0.21845513573681286
2,10,5,3,250,1,10,250,50,225,22,3,0.2183054885404102
2,10,5,3,250,1,10,250,60,216,29,5,0.22733959694989117
2,10,5,3,250,1,10,250,70,214,30,6,0.2133111488948264
2,10,5,3,250,1,10,250,60,219,27,4,0.23415761507142366
2,10,5,3,250,1,10,250,50,221,26,3,0.2173803708729081
2,10,5,3,250,1,10,250,70,207,38,5,0.20992720166117018
2,10,5,3,250,1,10,250,50,221,26,3,0.21485799168152123
2,10,5,3,250,1,10,250,70,210,35,5,0.21218375628368963
2,10,5,3,250,1,10,250,60,216,30,4,0.23556329674824464
2,10,5,3,250,1,10,250,70,215,30,5,0.21496344615384627
2,10,5,3,250,1,10,250,50,222,25,3,0.2227760162296189
2,10,5,3,250,1,10,250,70,217,27,6,0.21523648898190326
2,10,5,3,250,1,10,250,60,217,29,4,0.23799675214831864
2,10,5,3,250,1,10,250,60,220,26,4,0.23524278943805016
2,10,5,3,250,1,10,250,70,217,27,6,0.21605026372944464
2,10,5,3,250,1,10,250,50,226,21,3,0.21843727543765773
2,10,5,3,250,1,10,250,60,224,23,3,0.2319050791007495
2,10,5,3,250,1,10,250,70,215,29,6,0.21386503809408614
2,10,5,3,250,1,10,250,50,226,22,2,0.21412098822442865
2,10,5,3,250,1,10,250,70,214,30,6,0.21543316135084423
2,10,5,3,250,1,10,250,50,229,19,2,0.21433748186607623
2,10,5,3,250,1,10,250,50,229,17,4,0.2123838566373016
2,10,5,3,250,1,10,250,60,226,21,3,0.23488282596209076
2,10,5,3,250,1,10,250,70,214,32,4,0.218653984206748
2,10,5,3,250,1,10,250,60,226,21,3,0.2331354341023216
2,10,5,3,250,1,10,250,70,220,26,4,0.21749516865255789
2,10,5,3,250,1,10,250,60,225,22,3,0.2323074550128536
2,10,5,3,250,1,10,250,70,221,25,4,0.22182252559726975
2,10,5,3,250,1,10,250,60,225,23,2,0.22945372360133393
2,10,5,3,250,1,10,250,50,234,14,2,0.20635793161221536
2,10,5,3,250,1,10,250,70,221,25,4,0.22277011822491288
2,10,5,3,250,1,10,250,70,223,23,4,0.22419189374856888
2,10,5,3,250,1,10,250,70,222,24,4,0.22415677278576623
2,10,5,3,250,1,10,250,50,235,13,2,0.21175998791632036
2,10,5,3,250,1,10,250,50,232,15,3,0.21738182377364282
2,10,5,3,250,1,10,250,50,232,15,3,0.22054570615822275
2,10,5,3,250,1,10,250,50,236,11,3,0.22487725487052038
2,10,5,3,250,1,10,250,70,226,20,4,0.22212785593697262
2,10,5,3,250,1,15,250,50,84,80,86,0.15597207678883082
2,10,5,3,250,1,10,250,70,225,21,4,0.2241226446649571
2,10,5,3,250,1,10,250,70,227,19,4,0.2270794448694131
2,10,5,3,250,1,10,250,70,231,15,4,0.22772014838859264
2,10,5,3,250,1,15,250,50,79,93,78,0.14164387288240396
2,10,5,3,250,1,15,250,50,73,117,60,0.13370716247623085
2,10,5,3,250,1,10,250,70,232,14,4,0.23144986544986548
2,10,5,3,250,1,15,250,60,84,90,76,0.14552175850289623
2,10,5,3,250,1,15,250,60,60,124,66,0.13105788023051876
2,10,5,3,250,1,10,250,70,231,15,4,0.23418771807397074
2,10,5,3,250,1,15,250,50,72,127,51,0.13293498109379323
2,10,5,3,250,1,15,250,60,70,132,48,0.12452692746705418
2,10,5,3,250,1,15,250,60,78,140,32,0.1303981042654028
2,10,5,3,250,1,15,250,50,86,127,37,0.131671338894144
2,10,5,3,250,1,15,250,50,101,126,23,0.13855682647846196
2,10,5,3,250,1,15,250,60,87,139,24,0.13254381210478766
2,10,5,3,250,1,15,250,60,99,131,20,0.13969785725296746
2,10,5,3,250,1,15,250,70,70,95,85,0.1454585542841195
2,10,5,3,250,1,15,250,50,106,120,24,0.14510979135734922
2,10,5,3,250,1,15,250,50,109,119,22,0.1485544857099191
2,10,5,3,250,1,15,250,60,107,126,17,0.14474732051093833
2,10,5,3,250,1,15,250,70,69,123,58,0.12221974899360645
2,10,5,3,250,1,15,250,50,112,114,24,0.15120774155567013
2,10,5,3,250,1,15,250,60,97,128,25,0.1462856141826082
2,10,5,3,250,1,15,250,70,70,155,25,0.11122424364257712
2,10,5,3,250,1,15,250,50,137,98,15,0.15228558907311376
2,10,5,3,250,1,15,250,70,75,153,22,0.11051546029515111
2,10,5,3,250,1,15,250,50,151,84,15,0.1581632535747646
2,10,5,3,250,1,15,250,70,81,156,13,0.11561652865986022
2,10,5,3,250,1,15,250,60,123,110,17,0.15470871449205592
2,10,5,3,250,1,15,250,50,155,85,10,0.16639851767388822
2,10,5,3,250,1,15,250,60,126,103,21,0.1624221105527638
2,10,5,3,250,1,15,250,50,156,87,7,0.17047737330478238
2,10,5,3,250,1,15,250,70,90,152,8,0.11999406166730113
2,10,5,3,250,1,15,250,70,103,139,8,0.12250211031873094
2,10,5,3,250,1,15,250,50,157,83,10,0.17556407510530445
2,10,5,3,250,1,15,250,60,126,96,28,0.16633131628603043
2,10,5,3,250,1,15,250,70,107,135,8,0.12462426118772874
2,10,5,3,250,1,15,250,50,162,76,12,0.1768476081352048
2,10,5,3,250,1,15,250,60,144,87,19,0.17290106295993465
2,10,5,3,250,1,15,250,70,104,137,9,0.131301720002741
2,10,5,3,250,1,15,250,50,164,71,15,0.18621598518307456
2,10,5,3,250,1,15,250,60,143,84,23,0.17395982818077318
2,10,5,3,250,1,15,250,50,170,67,13,0.18821781342338548
2,10,5,3,250,1,15,250,60,146,80,24,0.1766231551714
2,10,5,3,250,1,15,250,50,168,67,15,0.18795389287686376
2,10,5,3,250,1,15,250,50,162,70,18,0.19761463924712439
2,10,5,3,250,1,15,250,70,103,134,13,0.13522650026553373
2,10,5,3,250,1,15,250,60,157,70,23,0.18309826187717265
2,10,5,3,250,1,15,250,50,169,69,12,0.19820395954992173
2,10,5,3,250,1,15,250,60,162,67,21,0.19097109962406025
2,10,5,3,250,1,15,250,50,168,66,16,0.20303840202560142
2,10,5,3,250,1,15,250,70,104,122,24,0.1434233732599547
2,10,5,3,250,1,15,250,60,168,63,19,0.19471085674239327
2,10,5,3,250,1,15,250,50,173,59,18,0.20083599057257734
2,10,5,3,250,1,15,250,70,95,121,34,0.14646629638980072
2,10,5,3,250,1,15,250,50,180,54,16,0.20897595034910793
2,10,5,3,250,1,15,250,60,174,60,16,0.19833353003658682
2,10,5,3,250,1,15,250,70,107,109,34,0.15497051643192492
2,10,5,3,250,1,15,250,50,186,48,16,0.21707434890149852
2,10,5,3,250,1,15,250,70,114,110,26,0.16135248495377547
2,10,5,3,250,1,15,250,60,178,61,11,0.20008359973460413
2,10,5,3,250,1,15,250,70,123,105,22,0.17221912779289825
2,10,5,3,250,1,15,250,50,193,46,11,0.21548200786211072
2,10,5,3,250,1,15,250,60,187,53,10,0.20529965598406658
2,10,5,3,250,1,15,250,50,193,47,10,0.21289940381857989
2,10,5,3,250,1,15,250,60,194,49,7,0.20864772025206973
2,10,5,3,250,1,15,250,50,199,41,10,0.2188835168219261
2,10,5,3,250,1,15,250,60,200,45,5,0.2073306405806247
2,10,5,3,250,1,15,250,70,135,96,19,0.17770881226053648
2,10,5,3,250,1,15,250,50,202,39,9,0.21521602222736755
2,10,5,3,250,1,15,250,70,142,91,17,0.182846791146284
2,10,5,3,250,1,15,250,50,205,37,8,0.21355590062111796
2,10,5,3,250,1,15,250,60,206,39,5,0.20780196916217716
2,10,5,3,250,1,15,250,70,151,85,14,0.18743969864511814
2,10,5,3,250,1,15,250,70,166,72,12,0.18927297050775313
2,10,5,3,250,1,15,250,50,210,34,6,0.2123966537763399
2,10,5,3,250,1,15,250,70,168,72,10,0.19055463905111678
2,10,5,3,250,1,15,250,60,208,36,6,0.21297363360009935
2,10,5,3,250,1,15,250,50,214,30,6,0.2101574653465348
2,10,5,3,250,1,15,250,70,170,66,14,0.19736588015207268
2,10,5,3,250,1,15,250,50,214,29,7,0.20838942345302364
2,10,5,3,250,1,15,250,60,211,35,4,0.21261018020866265
2,10,5,3,250,1,15,250,70,172,62,16,0.20546535366878818
2,10,5,3,250,1,15,250,50,213,29,8,0.2104683702087879
2,10,5,3,250,1,15,250,60,212,34,4,0.20891783716594167
2,10,5,3,250,1,15,250,70,179,57,14,0.21333971413986724
2,10,5,3,250,1,15,250,50,212,29,9,0.21434713155671606
2,10,5,3,250,1,15,250,70,185,51,14,0.21475567736883325
2,10,5,3,250,1,15,250,70,187,52,11,0.2134312555541449
2,10,5,3,250,1,15,250,50,210,31,9,0.2135040650406503
2,10,5,3,250,1,15,250,60,211,35,4,0.20825547310970755
2,10,5,3,250,1,15,250,70,192,49,9,0.21447964768795225
2,10,5,3,250,1,15,250,50,215,28,7,0.2122219333874898
2,10,5,3,250,1,15,250,60,210,37,3,0.21065256071170965
2,10,5,3,250,1,15,250,60,213,34,3,0.2104309987567342
2,10,5,3,250,1,15,250,50,216,28,6,0.21246658771781438
2,10,5,3,250,1,15,250,70,197,45,8,0.2167176960970065
2,10,5,3,250,1,15,250,50,216,27,7,0.20956937637316203
2,10,5,3,250,1,15,250,70,199,44,7,0.21838569636135508
2,10,5,3,250,1,15,250,50,220,23,7,0.2068324187420853
2,10,5,3,250,1,15,250,70,202,40,8,0.22295721117543443
2,10,5,3,250,1,15,250,60,214,33,3,0.21232636082719275
2,10,5,3,250,1,15,250,50,217,26,7,0.20733133183220762
2,10,5,3,250,1,15,250,70,201,40,9,0.22398616600790514
2,10,5,3,250,1,15,250,60,215,33,2,0.21559942311159183
2,10,5,3,250,1,15,250,50,222,22,6,0.21171713644300327
2,10,5,3,250,1,15,250,70,202,39,9,0.22285907723169512
2,10,5,3,250,1,15,250,60,215,33,2,0.213577860829329
2,10,5,3,250,1,15,250,50,226,19,5,0.21762364886996385
2,10,5,3,250,1,15,250,70,201,40,9,0.2228187919463086
2,10,5,3,250,1,15,250,50,228,19,3,0.2153610013175231
2,10,5,3,250,1,15,250,70,192,45,13,0.22111028454528547
2,10,5,3,250,1,15,250,50,228,21,1,0.2223999005222581
2,10,5,3,250,1,15,250,70,191,46,13,0.22457756156886596
2,10,5,3,250,1,15,250,60,214,34,2,0.21577271392494263
2,10,5,3,250,1,15,250,50,232,17,1,0.21738694321659302
2,10,5,3,250,1,15,250,70,194,42,14,0.2281228411578692
