author_id,author_name,pageid,page_title
114,Gohoski,1543,Project Save & Level Codes (форум)
217,AGScratcherBest,1544,Блок управления/Стоп ()
215,Bluethers Floppa,1546,Блок управления/Создать клон ()
165,RunRun 5,1564,Блок события/Когда зелёный флаг нажат
189,Scratch craft 2,1595,Блок события/Когда клавиша () нажата
114,Gohoski,1618,Блок события/Когда спрайт нажат
148,Vadim ch-ch,1627,Блок события/Когда () больше ()
181,Zuenko-michail,1634,Блок звука/Включить звук ()
165,RunRun 5,1635,Блок звука/Играть звук () до конца
184,Alex Ilya,1636,Блок звука/Остановить все звуки
217,AGScratcherBest,1637,Блок звука/Изменить () эффект на ()
2,Dimon4ezzz,1673,Блок внешнего вида/Думать () () секунд
10,D4zzzBOT,1673,Блок внешнего вида/Думать () () секунд
15,Rumanti,1673,Блок внешнего вида/Думать () () секунд
17,ErnieParke,1673,Блок внешнего вида/Думать () () секунд
36,Mini Kostik,1673,Блок внешнего вида/Думать () () секунд
42,RuMaks,1673,Блок внешнего вида/Думать () () секунд
60,Roder3480,1673,Блок внешнего вида/Думать () () секунд
88,Grevovan,1673,Блок внешнего вида/Думать () () секунд
114,Gohoski,1673,Блок внешнего вида/Думать () () секунд
120,Idey programm,1673,Блок внешнего вида/Думать () () секунд
184,Alex Ilya,1691,Блок внешнего вида/Следующий костюм
189,Scratch craft 2,1698,Блок внешнего вида/Переключить фон на ()
184,Alex Ilya,1699,Блок внешнего вида/Следующий фон
2,Dimon4ezzz,1704,Open Source Projects (форум)
217,AGScratcherBest,1706,Блок внешнего вида/Изменить размер на ()%
184,Alex Ilya,1713,Блок внешнего вида/Изменить эффект () на ()
194,Umnik123,1714,Блок внешнего вида/Установить эффект () ()
120,Idey programm,1725,Блок внешнего вида/Спрятаться
184,Alex Ilya,1751,Блок внешнего вида/Перейти на () слой
184,Alex Ilya,1768,Блок внешнего вида/Костюм ()
189,Scratch craft 2,1770,Блок внешнего вида/Размер
184,Alex Ilya,1774,Блок движения/Установить X в ()
217,AGScratcherBest,1775,Блок движения/Установить Y в ()
2,Dimon4ezzz,1776,Блок движения/Изменить X на ()
42,RuMaks,1776,Блок движения/Изменить X на ()
47,Asqwde,1776,Блок движения/Изменить X на ()
60,Roder3480,1776,Блок движения/Изменить X на ()
113,M-A-Z-2005,1776,Блок движения/Изменить X на ()
114,Gohoski,1776,Блок движения/Изменить X на ()
154,Stysan,1776,Блок движения/Изменить X на ()
165,RunRun 5,1776,Блок движения/Изменить X на ()
180,Veniamin6,1776,Блок движения/Изменить X на ()
181,Zuenko-michail,1776,Блок движения/Изменить X на ()
42,RuMaks,1779,Блок движения/Повернуться в направлении ()
114,Gohoski,1782,Блок движения/Положение X
116,ScratchFilin,1791,Блок движения/Положение Y
114,Gohoski,1793,Блок движения/Повернуть на () градусов
184,Alex Ilya,1820,Блок движения/Установить способ вращения ()
42,RuMaks,1862,Блок пера/Стереть все
46,Evgeny patarakin,1868,Блок пера/Опустить перо
36,Mini Kostik,1915,Блоки
107,Viator-Eno,1918,Блоки расширения
23,Denpotter,1980,GDPR-аккаунты
2,Dimon4ezzz,1989,Scratch Lab
36,Mini Kostik,1989,Scratch Lab
42,RuMaks,1989,Scratch Lab
44,Kometa2007,1989,Scratch Lab
46,Evgeny patarakin,1989,Scratch Lab
113,M-A-Z-2005,1989,Scratch Lab
