"username","category_label","category_name","discipline","n_total_edits","n_total_pages","days_active","edit_frequency","first_active_date","last_active_date","edits_articles","pages_articles","avg_size_articles","edits_article_talk","pages_article_talk","avg_size_article_talk","edits_userpage","pages_userpage","avg_size_userpage","edits_user_talk","pages_user_talk","avg_size_user_talk","n_files_uploaded","n_unique_files","avg_file_size","file_types_list"
"Student_156","СЦТО-231м","Category:СЦТО-231м","Технология_Образования",3,2,0.5,6,2024-03-19,2024-03-19,0,0,0,0,0,0,2,1,305,1,1,56,0,0,0,""
"Student_157","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",74,10,5,14.8,2025-10-03,2025-12-05,63,7,2991,2,2,554,9,1,980,0,0,0,1,1,71038,"image"
"Student_158","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",94,6,2,47,2025-11-28,2025-12-05,79,5,2208,0,0,0,15,1,771,0,0,0,0,0,0,""
"Student_159","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",90,12,5,18,2025-10-03,2025-12-05,70,8,3402,3,2,736,9,1,905,8,1,1366,0,0,0,""
"Student_160","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",43,8,3,14.33,2025-12-03,2025-12-05,35,5,1796,2,1,439,4,1,1630,2,1,397,0,0,0,""
"Student_161","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",50,9,6,8.33,2025-10-03,2025-12-05,35,5,3499,5,2,651,6,1,635,4,1,392,1,1,174288,"image"
"Student_162","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",16,4,0.5,32,2025-12-19,2025-12-19,7,2,5119,3,1,3395,6,1,1121,0,0,0,0,0,0,""
"Student_163","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",40,9,6,6.67,2025-10-03,2025-12-06,26,4,2076,3,2,1066,8,1,1339,3,2,346,1,1,31657,"image"
"Student_164","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",22,4,2,11,2025-11-28,2025-12-05,5,3,3032,0,0,0,17,1,717,0,0,0,0,0,0,""
"Student_165","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",6,2,2,3,2025-12-24,2026-01-07,1,1,4015,0,0,0,5,1,991,0,0,0,0,0,0,""
"Student_166","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",70,6,6,11.67,2025-10-03,2025-12-05,45,3,1795,1,1,752,22,1,1605,2,1,202,1,1,127623,"image"
"Student_167","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",23,7,5,4.6,2025-10-03,2025-11-28,12,4,2069,2,1,896,5,1,559,4,1,390,1,1,389674,"image"
"Student_168","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Student_169","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",30,7,6,5,2025-10-14,2025-12-06,12,4,3113,1,1,169,10,1,592,7,1,414,0,0,0,""
"Student_170","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",45,12,5,9,2025-10-03,2025-12-05,33,8,2775,3,2,596,7,1,859,2,1,452,0,0,0,""
"Student_171","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",9,4,0.5,18,2025-12-04,2025-12-04,7,3,1661,0,0,0,2,1,254,0,0,0,0,0,0,""
"Student_172","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",10,6,0.5,20,2025-12-13,2025-12-13,5,4,5379,1,1,3151,4,1,972,0,0,0,0,0,0,""
"Student_173","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",25,10,4,6.25,2025-10-03,2025-11-07,19,8,2521,2,1,620,4,1,1208,0,0,0,0,0,0,""
"Student_174","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Student_175","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",15,6,2,7.5,2025-12-04,2025-12-05,4,3,5979,2,2,810,9,1,849,0,0,0,0,0,0,""
"Student_176","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",47,7,2,23.5,2025-12-04,2025-12-05,36,3,1004,2,2,838,8,1,391,1,1,0,0,0,0,""
"Student_177","СЦТО-241м","Category:СЦТО-241м","Технология_Образования",48,8,4,12,2025-10-03,2025-12-05,40,6,1710,1,1,103,7,1,1194,0,0,0,0,0,0,""
